,question,proc_ques,tokens,words,stops
10,I killed a snake on a Friday. There's a belief that when you kill a snake on a Friday it will certainly take revenge. Will I be killed?,i killed a snake on a friday  there is a belief that when you kill a snake on a friday it will certainly take revenge  will i be killed,"['I', 'killed', 'a', 'snake', 'on', 'a', 'Friday.', ""There's"", 'a', 'belief', 'that', 'when', 'you', 'kill', 'a', 'snake', 'on', 'a', 'Friday', 'it', 'will', 'certainly', 'take', 'revenge.', 'Will', 'I', 'be', 'killed?']","{'Friday', 'killed?', 'kill', 'revenge.', 'Will', ""There's"", 'certainly', 'belief', 'take', 'killed', 'Friday.', 'I', 'snake'}","{'you', 'be', 'when', 'will', 'a', 'it', 'on', 'that'}"
11,Do snakes really take revenge?,do snakes really take revenge,"['Do', 'snakes', 'really', 'take', 'revenge?']","{'Do', 'really', 'snakes', 'take', 'revenge?'}",set()
12,Is the royal family a net gain or a net loss to the British taxpayer?,is the royal family a net gain or a net loss to the british taxpayer,"['Is', 'the', 'royal', 'family', 'a', 'net', 'gain', 'or', 'a', 'net', 'loss', 'to', 'the', 'British', 'taxpayer?']","{'gain', 'taxpayer?', 'net', 'Is', 'British', 'royal', 'loss', 'family'}","{'a', 'or', 'to', 'the'}"
13,"Why does the British royal family think it's OK to take taxpayers money for trips, etc., when they have so much money of their own; is it time to stop paying for all that and things related in our current economic climate?",why does the british royal family think it is ok to take taxpayers money for trips  etc   when they have so much money of their own  is it time to stop paying for all that and things related in our current economic climate,"['Why', 'does', 'the', 'British', 'royal', 'family', 'think', ""it's"", 'OK', 'to', 'take', 'taxpayers', 'money', 'for', 'trips,', 'etc.,', 'when', 'they', 'have', 'so', 'much', 'money', 'of', 'their', 'own;', 'is', 'it', 'time', 'to', 'stop', 'paying', 'for', 'all', 'that', 'and', 'things', 'related', 'in', 'our', 'current', 'economic', 'climate?']","{'Why', 'OK', 'much', 'economic', 'British', 'money', 'royal', 'things', 'stop', 'etc.,', 'think', 'paying', 'current', 'time', 'own;', 'climate?', 'take', 'trips,', 'related', 'taxpayers', 'family'}","{'for', 'of', 'all', 'when', ""it's"", 'to', 'have', 'our', 'and', 'is', 'they', 'the', 'it', 'their', 'in', 'does', 'so', 'that'}"
14,"If a huge asteroid was about to hit Earth in X year, would we be able to find survival solutions in due time?",if a huge asteroid was about to hit earth in x year  would we be able to find survival solutions in due time,"['If', 'a', 'huge', 'asteroid', 'was', 'about', 'to', 'hit', 'Earth', 'in', 'X', 'year,', 'would', 'we', 'be', 'able', 'to', 'find', 'survival', 'solutions', 'in', 'due', 'time?']","{'year,', 'would', 'find', 'X', 'time?', 'due', 'asteroid', 'huge', 'survival', 'Earth', 'solutions', 'If', 'hit', 'able'}","{'be', 'to', 'was', 'a', 'in', 'we', 'about'}"
15,A 100-mile-wide asteroid is projected to hit Earth in 50 years. How would humanity survive?,a 100 mile wide asteroid is projected to hit earth in 50 years  how would humanity survive,"['A', '100-mile-wide', 'asteroid', 'is', 'projected', 'to', 'hit', 'Earth', 'in', '50', 'years.', 'How', 'would', 'humanity', 'survive?']","{'would', 'A', '100-mile-wide', 'How', 'projected', 'asteroid', 'years.', 'Earth', 'survive?', '50', 'humanity', 'hit'}","{'in', 'is', 'to'}"
16,What would happen if a woman took Viagra?,what would happen if a woman took viagra,"['What', 'would', 'happen', 'if', 'a', 'woman', 'took', 'Viagra?']","{'would', 'Viagra?', 'took', 'What', 'woman', 'happen'}","{'a', 'if'}"
17,Does Viagra really work?,does viagra really work,"['Does', 'Viagra', 'really', 'work?']","{'work?', 'really', 'Viagra', 'Does'}",set()
18,How could I improve my love to my girlfriend?,how could i improve my love to my girlfriend,"['How', 'could', 'I', 'improve', 'my', 'love', 'to', 'my', 'girlfriend?']","{'love', 'girlfriend?', 'How', 'improve', 'could', 'I'}","{'my', 'to'}"
19,How do I improve my relationship with my girlfriend?,how do i improve my relationship with my girlfriend,"['How', 'do', 'I', 'improve', 'my', 'relationship', 'with', 'my', 'girlfriend?']","{'girlfriend?', 'How', 'relationship', 'improve', 'I'}","{'my', 'do', 'with'}"
20,Do you love your country? Why?,do you love your country  why,"['Do', 'you', 'love', 'your', 'country?', 'Why?']","{'Do', 'love', 'Why?', 'country?'}","{'you', 'your'}"
21,What do you love most about your country?,what do you love most about your country,"['What', 'do', 'you', 'love', 'most', 'about', 'your', 'country?']","{'love', 'country?', 'What'}","{'you', 'your', 'do', 'most', 'about'}"
22,Can I take NyQuil and Sudafed at the same time?,can i take nyquil and sudafed at the same time,"['Can', 'I', 'take', 'NyQuil', 'and', 'Sudafed', 'at', 'the', 'same', 'time?']","{'Sudafed', 'time?', 'take', 'NyQuil', 'I', 'Can'}","{'and', 'same', 'at', 'the'}"
23,What are the dangers of taking Cymbalta and Valium at the same time?,what are the dangers of taking cymbalta and valium at the same time,"['What', 'are', 'the', 'dangers', 'of', 'taking', 'Cymbalta', 'and', 'Valium', 'at', 'the', 'same', 'time?']","{'dangers', 'taking', 'Cymbalta', 'time?', 'What', 'Valium'}","{'of', 'at', 'and', 'the', 'are', 'same'}"
24,What are some funny lies of Narendra Modi?,what are some funny lies of narendra modi,"['What', 'are', 'some', 'funny', 'lies', 'of', 'Narendra', 'Modi?']","{'funny', 'Narendra', 'What', 'lies', 'Modi?'}","{'are', 'of', 'some'}"
25,What are some trolls on Narendra Modi?,what are some trolls on narendra modi,"['What', 'are', 'some', 'trolls', 'on', 'Narendra', 'Modi?']","{'trolls', 'Narendra', 'Modi?', 'What'}","{'are', 'on', 'some'}"
26,Is there is a chance of rejection of jio sim after we get the first message?,is there is a chance of rejection of jio sim after we get the first message,"['Is', 'there', 'is', 'a', 'chance', 'of', 'rejection', 'of', 'jio', 'sim', 'after', 'we', 'get', 'the', 'first', 'message?']","{'get', 'rejection', 'message?', 'Is', 'chance', 'sim', 'jio', 'first'}","{'of', 'there', 'a', 'is', 'the', 'after', 'we'}"
27,Is there any chance I can get a job after being rejected? They haven't filled the position yet. What can I do to increase my chances?,is there any chance i can get a job after being rejected  they have not filled the position yet  what can i do to increase my chances,"['Is', 'there', 'any', 'chance', 'I', 'can', 'get', 'a', 'job', 'after', 'being', 'rejected?', 'They', ""haven't"", 'filled', 'the', 'position', 'yet.', 'What', 'can', 'I', 'do', 'to', 'increase', 'my', 'chances?']","{'position', 'filled', 'chances?', 'get', 'yet.', 'increase', 'rejected?', 'They', 'job', 'What', 'Is', 'chance', 'I'}","{'my', 'there', 'any', ""haven't"", 'being', 'do', 'to', 'a', 'the', 'after', 'can'}"
28,I would like to start watching Doctor Who. Where should I start?,i would like to start watching doctor who  where should i start,"['I', 'would', 'like', 'to', 'start', 'watching', 'Doctor', 'Who.', 'Where', 'should', 'I', 'start?']","{'start?', 'would', 'watching', 'Doctor', 'Where', 'like', 'Who.', 'I', 'start'}","{'should', 'to'}"
29,"As a new viewer, from which season should I start watching Doctor who?",as a new viewer  from which season should i start watching doctor who,"['As', 'a', 'new', 'viewer,', 'from', 'which', 'season', 'should', 'I', 'start', 'watching', 'Doctor', 'who?']","{'who?', 'season', 'viewer,', 'watching', 'Doctor', 'new', 'As', 'I', 'start'}","{'from', 'a', 'should', 'which'}"
30,What is the logic behind how Facebook Messenger lists out active friends?,what is the logic behind how facebook messenger lists out active friends,"['What', 'is', 'the', 'logic', 'behind', 'how', 'Facebook', 'Messenger', 'lists', 'out', 'active', 'friends?']","{'logic', 'behind', 'Messenger', 'What', 'lists', 'active', 'Facebook', 'friends?'}","{'out', 'how', 'is', 'the'}"
31,Can people who aren't friends see your last active time on Messenger?,can people who are not friends see your last active time on messenger,"['Can', 'people', 'who', ""aren't"", 'friends', 'see', 'your', 'last', 'active', 'time', 'on', 'Messenger?']","{'Messenger?', 'friends', 'see', 'time', 'active', 'last', 'people', 'Can'}","{""aren't"", 'who', 'on', 'your'}"
32,"How Heaven is described in ""The Bible""?",how heaven is described in  the bible,"['How', 'Heaven', 'is', 'described', 'in', '""The', 'Bible""?']","{'described', 'How', '""The', 'Heaven', 'Bible""?'}","{'in', 'is'}"
33,How is Heaven described according the Bible?,how is heaven described according the bible,"['How', 'is', 'Heaven', 'described', 'according', 'the', 'Bible?']","{'according', 'Bible?', 'described', 'How', 'Heaven'}","{'is', 'the'}"
34,How do I make video calls from my Panasonic Eluga A2 phone?,how do i make video calls from my panasonic eluga a2 phone,"['How', 'do', 'I', 'make', 'video', 'calls', 'from', 'my', 'Panasonic', 'Eluga', 'A2', 'phone?']","{'calls', 'How', 'video', 'Eluga', 'A2', 'Panasonic', 'make', 'I', 'phone?'}","{'from', 'my', 'do'}"
35,What and when do Islamic clerics 'preach'?,what and when do islamic clerics  preach,"['What', 'and', 'when', 'do', 'Islamic', 'clerics', ""'preach'?""]","{""'preach'?"", 'Islamic', 'clerics', 'What'}","{'and', 'when', 'do'}"
36,What is it really like to be shot?,what is it really like to be shot,"['What', 'is', 'it', 'really', 'like', 'to', 'be', 'shot?']","{'shot?', 'really', 'like', 'What'}","{'be', 'is', 'to', 'it'}"
37,What does it feel like to be shot?,what does it feel like to be shot,"['What', 'does', 'it', 'feel', 'like', 'to', 'be', 'shot?']","{'feel', 'shot?', 'like', 'What'}","{'does', 'be', 'to', 'it'}"
38,What should I do with an old computer?,what should i do with an old computer,"['What', 'should', 'I', 'do', 'with', 'an', 'old', 'computer?']","{'computer?', 'old', 'I', 'What'}","{'should', 'do', 'an', 'with'}"
39,What should I do with old computer mouse?,what should i do with old computer mouse,"['What', 'should', 'I', 'do', 'with', 'old', 'computer', 'mouse?']","{'computer', 'I', 'old', 'What', 'mouse?'}","{'should', 'do', 'with'}"
40,Why do boys musterbate?,why do boys musterbate,"['Why', 'do', 'boys', 'musterbate?']","{'Why', 'boys', 'musterbate?'}",{'do'}
41,Why does guys musterbate?,why does guys musterbate,"['Why', 'does', 'guys', 'musterbate?']","{'Why', 'musterbate?', 'guys'}",{'does'}
42,Why do nylon clothes crackle with static when you undress?,why do nylon clothes crackle with static when you undress,"['Why', 'do', 'nylon', 'clothes', 'crackle', 'with', 'static', 'when', 'you', 'undress?']","{'clothes', 'Why', 'crackle', 'undress?', 'static', 'nylon'}","{'you', 'do', 'when', 'with'}"
43,How do I join nylon sheets in an easy way?,how do i join nylon sheets in an easy way,"['How', 'do', 'I', 'join', 'nylon', 'sheets', 'in', 'an', 'easy', 'way?']","{'easy', 'join', 'How', 'sheets', 'way?', 'nylon', 'I'}","{'in', 'do', 'an'}"
44,How do I dress well as a teenage guy?,how do i dress well as a teenage guy,"['How', 'do', 'I', 'dress', 'well', 'as', 'a', 'teenage', 'guy?']","{'teenage', 'dress', 'guy?', 'well', 'How', 'I'}","{'a', 'do', 'as'}"
45,How should I dress well as an 18 year old guy?,how should i dress well as an 18 year old guy,"['How', 'should', 'I', 'dress', 'well', 'as', 'an', '18', 'year', 'old', 'guy?']","{'dress', 'guy?', 'well', 'How', '18', 'old', 'year', 'I'}","{'should', 'an', 'as'}"
46,What's the feeling of having sex for the first time?,what is the feeling of having sex for the first time,"[""What's"", 'the', 'feeling', 'of', 'having', 'sex', 'for', 'the', 'first', 'time?']","{'feeling', 'time?', 'sex', ""What's"", 'first'}","{'having', 'of', 'for', 'the'}"
47,What it is like to have sex first time?,what it is like to have sex first time,"['What', 'it', 'is', 'like', 'to', 'have', 'sex', 'first', 'time?']","{'time?', 'What', 'sex', 'like', 'first'}","{'is', 'to', 'it', 'have'}"
48,Can I hate homosexuality but not homosexuals?,can i hate homosexuality but not homosexuals,"['Can', 'I', 'hate', 'homosexuality', 'but', 'not', 'homosexuals?']","{'homosexuality', 'homosexuals?', 'hate', 'I', 'Can'}","{'not', 'but'}"
49,What is homosexuality?,what is homosexuality,"['What', 'is', 'homosexuality?']","{'homosexuality?', 'What'}",{'is'}
50,How can I get my Android phone's cracked screen replaced? What will be the estimated cost and repair time when I take it to a service center?,how can i get my android phone s cracked screen replaced  what will be the estimated cost and repair time when i take it to a service center,"['How', 'can', 'I', 'get', 'my', 'Android', ""phone's"", 'cracked', 'screen', 'replaced?', 'What', 'will', 'be', 'the', 'estimated', 'cost', 'and', 'repair', 'time', 'when', 'I', 'take', 'it', 'to', 'a', 'service', 'center?']","{'get', 'estimated', 'cost', 'How', 'Android', 'What', 'time', ""phone's"", 'take', 'center?', 'repair', 'screen', 'service', 'replaced?', 'I', 'cracked'}","{'my', 'be', 'when', 'to', 'will', 'a', 'and', 'the', 'it', 'can'}"
51,"I dropped a TV and it broke, cracking the plastic back. The screen does not appear to be broken though. How much would it cost to repair?",i dropped a tv and it broke  cracking the plastic back  the screen does not appear to be broken though  how much would it cost to repair,"['I', 'dropped', 'a', 'TV', 'and', 'it', 'broke,', 'cracking', 'the', 'plastic', 'back.', 'The', 'screen', 'does', 'not', 'appear', 'to', 'be', 'broken', 'though.', 'How', 'much', 'would', 'it', 'cost', 'to', 'repair?']","{'The', 'back.', 'would', 'appear', 'TV', 'repair?', 'I', 'cost', 'How', 'dropped', 'cracking', 'broken', 'though.', 'much', 'plastic', 'screen', 'broke,'}","{'not', 'be', 'to', 'a', 'and', 'it', 'the', 'does'}"
52,I forgot my Facebook password and email password. How can I log into Facebook?,i forgot my facebook password and email password  how can i log into facebook,"['I', 'forgot', 'my', 'Facebook', 'password', 'and', 'email', 'password.', 'How', 'can', 'I', 'log', 'into', 'Facebook?']","{'log', 'Facebook?', 'How', 'password.', 'password', 'forgot', 'email', 'Facebook', 'I'}","{'my', 'can', 'and', 'into'}"
53,How can I retrieve my Facebook password?,how can i retrieve my facebook password,"['How', 'can', 'I', 'retrieve', 'my', 'Facebook', 'password?']","{'How', 'retrieve', 'Facebook', 'password?', 'I'}","{'my', 'can'}"
54,Which is the best haier refrigerator service center in hyderabad?,which is the best haier refrigerator service center in hyderabad,"['Which', 'is', 'the', 'best', 'haier', 'refrigerator', 'service', 'center', 'in', 'hyderabad?']","{'center', 'haier', 'Which', 'best', 'hyderabad?', 'refrigerator', 'service'}","{'in', 'is', 'the'}"
55,Where is the best Haier Microwave Oven Service Center in Hyderabad?,where is the best haier microwave oven service center in hyderabad,"['Where', 'is', 'the', 'best', 'Haier', 'Microwave', 'Oven', 'Service', 'Center', 'in', 'Hyderabad?']","{'Hyderabad?', 'Microwave', 'Oven', 'best', 'Service', 'Where', 'Haier', 'Center'}","{'in', 'is', 'the'}"
56,What do you think of the Government's move of banning old Rs. 500 & Rs. 1000 notes?,what do you think of the government s move of banning old rs  500   rs  1k notes,"['What', 'do', 'you', 'think', 'of', 'the', ""Government's"", 'move', 'of', 'banning', 'old', 'Rs.', '500', '&', 'Rs.', '1000', 'notes?']","{'500', 'Rs.', 'banning', ""Government's"", 'old', 'What', '&', '1000', 'think', 'notes?', 'move'}","{'you', 'of', 'do', 'the'}"
57,Is this move of banning 500 & 1000 Rupee notes right?,is this move of banning 500   1k rupee notes right,"['Is', 'this', 'move', 'of', 'banning', '500', '&', '1000', 'Rupee', 'notes', 'right?']","{'500', 'banning', '&', '1000', 'notes', 'Is', 'Rupee', 'right?', 'move'}","{'of', 'this'}"
58,"Outside the stereotypical death element, what are some other reasons for a person's interest in skulls?",outside the stereotypical death element  what are some other reasons for a person s interest in skulls,"['Outside', 'the', 'stereotypical', 'death', 'element,', 'what', 'are', 'some', 'other', 'reasons', 'for', 'a', ""person's"", 'interest', 'in', 'skulls?']","{'Outside', 'skulls?', 'reasons', 'death', 'interest', 'stereotypical', 'element,', ""person's""}","{'for', 'a', 'in', 'some', 'other', 'the', 'are', 'what'}"
59,What famous person had the most tragic death?,what famous person had the most tragic death,"['What', 'famous', 'person', 'had', 'the', 'most', 'tragic', 'death?']","{'death?', 'tragic', 'What', 'person', 'famous'}","{'most', 'had', 'the'}"
60,How does the Happn app know where my location is when the app is closed on iOS?,how does the happn app know where my location is when the app is closed on ios,"['How', 'does', 'the', 'Happn', 'app', 'know', 'where', 'my', 'location', 'is', 'when', 'the', 'app', 'is', 'closed', 'on', 'iOS?']","{'Happn', 'How', 'location', 'iOS?', 'closed', 'know', 'app'}","{'my', 'where', 'when', 'on', 'is', 'the', 'does'}"
61,How does the Happn app deal with stalking?,how does the happn app deal with stalking,"['How', 'does', 'the', 'Happn', 'app', 'deal', 'with', 'stalking?']","{'Happn', 'How', 'stalking?', 'deal', 'app'}","{'does', 'the', 'with'}"
62,Why did Gandalf come back?,why did gandalf come back,"['Why', 'did', 'Gandalf', 'come', 'back?']","{'Why', 'Gandalf', 'back?', 'come'}",{'did'}
63,Should I go for android development or Data science or Python programming or Machine learning?,should i go for android development or data science or python programming or machine learning,"['Should', 'I', 'go', 'for', 'android', 'development', 'or', 'Data', 'science', 'or', 'Python', 'programming', 'or', 'Machine', 'learning?']","{'Machine', 'science', 'programming', 'learning?', 'go', 'Python', 'Should', 'android', 'Data', 'development', 'I'}","{'for', 'or'}"
64,What is difference between rational and fraction numbers?,what is difference between rational and fraction numbers,"['What', 'is', 'difference', 'between', 'rational', 'and', 'fraction', 'numbers?']","{'numbers?', 'difference', 'rational', 'What', 'fraction'}","{'between', 'and', 'is'}"
65,What is the difference between fractions and rational numbers?,what is the difference between fractions and rational numbers,"['What', 'is', 'the', 'difference', 'between', 'fractions', 'and', 'rational', 'numbers?']","{'numbers?', 'difference', 'fractions', 'rational', 'What'}","{'between', 'and', 'is', 'the'}"
66,How much money does an Uber driver make in San Francisco?,how much money does an uber driver make in san francisco,"['How', 'much', 'money', 'does', 'an', 'Uber', 'driver', 'make', 'in', 'San', 'Francisco?']","{'Uber', 'driver', 'How', 'much', 'Francisco?', 'San', 'money', 'make'}","{'does', 'in', 'an'}"
67,Uber (company): How much does it cost to take UberX from Menlo Park to SFO?,uber  company   how much does it cost to take uberx from menlo park to sfo,"['Uber', '(company):', 'How', 'much', 'does', 'it', 'cost', 'to', 'take', 'UberX', 'from', 'Menlo', 'Park', 'to', 'SFO?']","{'Uber', 'Park', 'cost', 'How', 'SFO?', 'take', 'UberX', 'much', '(company):', 'Menlo'}","{'from', 'does', 'to', 'it'}"
68,Why in some cases spin forbidden transitions are also allowed; although their molar absorption co-efficient is very less?,why in some cases spin forbidden transitions are also allowed  although their molar absorption co efficient is very less,"['Why', 'in', 'some', 'cases', 'spin', 'forbidden', 'transitions', 'are', 'also', 'allowed;', 'although', 'their', 'molar', 'absorption', 'co-efficient', 'is', 'very', 'less?']","{'forbidden', 'although', 'absorption', 'less?', 'cases', 'Why', 'allowed;', 'spin', 'also', 'co-efficient', 'molar', 'transitions'}","{'very', 'in', 'some', 'is', 'are', 'their'}"
69,What is the importance of molar mass?,what is the importance of molar mass,"['What', 'is', 'the', 'importance', 'of', 'molar', 'mass?']","{'molar', 'mass?', 'importance', 'What'}","{'of', 'is', 'the'}"
70,What does 'omorashi' mean in Japanese?,what does  omorashi  mean in japanese,"['What', 'does', ""'omorashi'"", 'mean', 'in', 'Japanese?']","{""'omorashi'"", 'mean', 'Japanese?', 'What'}","{'does', 'in'}"
71,"What does this mean in Japanese ""このたびはご愁傷さまでございます""?",what does this mean in japanese  このたびはご愁傷さまでございます,"['What', 'does', 'this', 'mean', 'in', 'Japanese', '""このたびはご愁傷さまでございます""?']","{'""このたびはご愁傷さまでございます""?', 'Japanese', 'mean', 'What'}","{'in', 'does', 'this'}"
72,How do you prepare for an Abercrombie and Fitch group interview?,how do you prepare for an abercrombie and fitch group interview,"['How', 'do', 'you', 'prepare', 'for', 'an', 'Abercrombie', 'and', 'Fitch', 'group', 'interview?']","{'Fitch', 'interview?', 'How', 'group', 'Abercrombie', 'prepare'}","{'you', 'for', 'do', 'and', 'an'}"
73,How do I prepare for Sony R & D Group internship interview?,how do i prepare for sony r   d group internship interview,"['How', 'do', 'I', 'prepare', 'for', 'Sony', 'R', '&', 'D', 'Group', 'internship', 'interview?']","{'interview?', 'How', '&', 'Sony', 'D', 'internship', 'R', 'Group', 'I', 'prepare'}","{'for', 'do'}"
74,What is the best thing to do when someone chokes on water?,what is the best thing to do when someone chokes on water,"['What', 'is', 'the', 'best', 'thing', 'to', 'do', 'when', 'someone', 'chokes', 'on', 'water?']","{'chokes', 'water?', 'What', 'best', 'thing', 'someone'}","{'when', 'do', 'to', 'is', 'the', 'on'}"
75,Can you choke someone to death using a dental floss?,can you choke someone to death using a dental floss,"['Can', 'you', 'choke', 'someone', 'to', 'death', 'using', 'a', 'dental', 'floss?']","{'floss?', 'using', 'dental', 'death', 'someone', 'choke', 'Can'}","{'you', 'a', 'to'}"
76,What should I do if my significant other doesn't respect my family?,what should i do if my significant other does not respect my family,"['What', 'should', 'I', 'do', 'if', 'my', 'significant', 'other', ""doesn't"", 'respect', 'my', 'family?']","{'family?', 'What', 'significant', 'respect', 'I'}","{'my', 'should', 'do', 'if', ""doesn't"", 'other'}"
77,"How do I deal with a friend, who doesn't respect me?",how do i deal with a friend  who does not respect me,"['How', 'do', 'I', 'deal', 'with', 'a', 'friend,', 'who', ""doesn't"", 'respect', 'me?']","{'me?', 'How', 'respect', 'deal', 'friend,', 'I'}","{'with', 'do', 'a', ""doesn't"", 'who'}"
78,Why do people dance on Mahamantra and when it' started or where it is originated from?,why do people dance on mahamantra and when it  started or where it is originated from,"['Why', 'do', 'people', 'dance', 'on', 'Mahamantra', 'and', 'when', ""it'"", 'started', 'or', 'where', 'it', 'is', 'originated', 'from?']","{'started', 'originated', 'dance', 'from?', 'Why', ""it'"", 'Mahamantra', 'people'}","{'where', 'or', 'when', 'do', 'and', 'is', 'it', 'on'}"
79,Why do people dance on Mahamantra and when it is started or where is this originated from?,why do people dance on mahamantra and when it is started or where is this originated from,"['Why', 'do', 'people', 'dance', 'on', 'Mahamantra', 'and', 'when', 'it', 'is', 'started', 'or', 'where', 'is', 'this', 'originated', 'from?']","{'started', 'originated', 'dance', 'from?', 'Why', 'Mahamantra', 'people'}","{'where', 'or', 'when', 'this', 'do', 'and', 'is', 'it', 'on'}"
80,How do I merge data from multiple data sources to feed my business dashboards?,how do i merge data from multiple data sources to feed my business dashboards,"['How', 'do', 'I', 'merge', 'data', 'from', 'multiple', 'data', 'sources', 'to', 'feed', 'my', 'business', 'dashboards?']","{'merge', 'business', 'sources', 'multiple', 'How', 'feed', 'dashboards?', 'data', 'I'}","{'from', 'to', 'my', 'do'}"
81,How should a circuit be designed to pull tens/hundreds of data points from multiple sources continuously?,how should a circuit be designed to pull tens hundreds of data points from multiple sources continuously,"['How', 'should', 'a', 'circuit', 'be', 'designed', 'to', 'pull', 'tens/hundreds', 'of', 'data', 'points', 'from', 'multiple', 'sources', 'continuously?']","{'continuously?', 'points', 'sources', 'multiple', 'How', 'pull', 'designed', 'circuit', 'tens/hundreds', 'data'}","{'of', 'be', 'should', 'to', 'a', 'from'}"
82,What are the facts about Martin Shkreli?,what are the facts about martin shkreli,"['What', 'are', 'the', 'facts', 'about', 'Martin', 'Shkreli?']","{'Martin', 'Shkreli?', 'facts', 'What'}","{'are', 'the', 'about'}"
83,What is wrong with Martin Shkreli?,what is wrong with martin shkreli,"['What', 'is', 'wrong', 'with', 'Martin', 'Shkreli?']","{'Martin', 'Shkreli?', 'wrong', 'What'}","{'is', 'with'}"
84,What mean by alkali?,what mean by alkali,"['What', 'mean', 'by', 'alkali?']","{'alkali?', 'mean', 'What'}",{'by'}
85,What is alkali?,what is alkali,"['What', 'is', 'alkali?']","{'alkali?', 'What'}",{'is'}
86,Which company would be the best in Sydney area to get friendly photo booth services?,which company would be the best in sydney area to get friendly photo booth services,"['Which', 'company', 'would', 'be', 'the', 'best', 'in', 'Sydney', 'area', 'to', 'get', 'friendly', 'photo', 'booth', 'services?']","{'area', 'would', 'get', 'photo', 'booth', 'Which', 'best', 'company', 'friendly', 'Sydney', 'services?'}","{'in', 'be', 'to', 'the'}"
